nr_qubits,exp_type 1,exp_type 2,backend 1,backend 2,circuit 1,circuit 2,corr avg
8,Hardware,Hardware,brisbane,torino,1,1,0.0010403283933652426
8,Hardware,Hardware,brisbane,torino,2,2,0.051210517610158594
8,Hardware,Hardware,brisbane,torino,3,3,0.04250514695927971
8,Refreshed_Hardware,Refreshed_Hardware,brisbane,torino,1,1,-0.03547886709520333
8,Refreshed_Hardware,Refreshed_Hardware,brisbane,torino,2,2,0.03112841363109659
8,Refreshed_Hardware,Refreshed_Hardware,brisbane,torino,3,3,0.004735958341204443
8,Simulated,Simulated,brisbane,torino,1,1,-0.044288048384234814
8,Simulated,Simulated,brisbane,torino,2,2,-0.04846728044030433
8,Simulated,Simulated,brisbane,torino,3,3,-0.06110544589701872
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,torino,1,1,-0.06188015576765701
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,torino,2,2,0.01033738174584749
8,Refreshed_Simulated,Refreshed_Simulated,brisbane,torino,3,3,0.041287883575908534
